model_name,disks,mean,std,var
greedy_search_heuristic3,3,0.011952972412109375,0.0004525602381934392,2.0481076919370244e-07
astar_search_heuristic3,3,0.01387939453125,0.0005266652825079295,2.773763197991572e-07
astar_search_heuristic1,3,0.01665802001953125,0.0008187576252792153,6.7036404895286e-07
greedy_search_heuristic2,3,0.017046356201171876,0.0007412611083411576,5.494680307391612e-07
astar_search_heuristic2,3,0.017057037353515624,0.000749279656590286,5.61420003780057e-07
greedy_search_heuristic1,3,0.020647239685058594,0.0010229741363808598,1.046476083704166e-06
breadth_first_graph_search,3,0.02835502624511719,0.0026223645803858343,6.876795992462173e-06
astar_search_heuristic2,4,0.04447364807128906,0.0,0.0
greedy_search_heuristic2,4,0.04452705383300781,0.0,0.0
greedy_search_heuristic3,4,0.053971290588378906,0.0,0.0
astar_search_heuristic1,4,0.05423736572265625,0.0,0.0
greedy_search_heuristic1,4,0.05985450744628906,0.0,0.0
astar_search_heuristic3,4,0.06413078308105469,3.6189395830173735e-05,1.309672370552996e-09
breadth_first_graph_search,4,0.074810791015625,0.0006417586193884189,4.118541255593295e-07
greedy_search_heuristic3,5,0.08616790771484376,0.002972355710851626,8.834898471832277e-06
astar_search_heuristic2,5,0.13115005493164061,0.0017515667581804244,3.067986108362682e-06
greedy_search_heuristic2,5,0.13166122436523436,0.0044175189176699076,1.9514473387971512e-05
astar_search_heuristic3,5,0.13824234008789063,1.68883847207469e-05,2.8521753847595733e-10
astar_search_heuristic1,5,0.1773275375366211,0.0064127609411068365,4.112350288778544e-05
greedy_search_heuristic1,5,0.18956336975097657,0.005988138696699462,3.585780505090953e-05
breadth_first_graph_search,5,0.22885627746582032,0.009243994755996346,8.545143904888794e-05
astar_search_heuristic2,6,0.41559791564941406,0.007256786662049256,5.266095265849599e-05
greedy_search_heuristic2,6,0.4170047760009766,0.014521598233454494,0.00021087681525386865
greedy_search_heuristic3,6,0.5043487548828125,0.007527394332676196,5.666166543960571e-05
greedy_search_heuristic1,6,0.5539630889892578,0.010055826788011018,0.00010111965239047997
astar_search_heuristic1,6,0.5634061813354492,0.012507055198908145,0.00015642642974853524
astar_search_heuristic3,6,0.6610918045043945,0.024432177776731963,0.0005969313109138351
breadth_first_graph_search,6,0.6679931640625,0.01793738208448554,0.00032174967604482274
greedy_search_heuristic3,7,0.8240018844604492,0.01957122526495811,0.00038303285837173453
astar_search_heuristic2,7,1.2428443908691407,0.018949521886066596,0.0003590843797105169
greedy_search_heuristic2,7,1.246760940551758,0.03301940622815868,0.0010902811876601641
astar_search_heuristic3,7,1.3818492889404297,0.02893991161582332,0.0008375184843316657
greedy_search_heuristic1,7,1.6862363815307617,0.031834605198609756,0.0010134420881513515
astar_search_heuristic1,7,1.8005821228027343,0.02581098790170241,0.0006662070964618281
breadth_first_graph_search,7,1.9590326309204102,0.040128673197045925,0.0016103104125553122
